hgnc_id	entrez_id	ensembl_gene_id	location_sortable	symbol	name	gene_family	pubmed_id
HGNC:14639	85320	ENSG00000121270	16q12.1	ABCC11	ATP binding cassette subfamily C member 11	ATP binding cassette subfamily C	11483364|11435397
HGNC:14640	94160	ENSG00000140798	16q12.1	ABCC12	ATP binding cassette subfamily C member 12	ATP binding cassette subfamily C	11435397|11483364
HGNC:61	215	ENSG00000101986	Xq28	ABCD1	ATP binding cassette subfamily D member 1	ATP binding cassette subfamily D	8441467|6795626
HGNC:66	225	ENSG00000173208	12q12	ABCD2	ATP binding cassette subfamily D member 2	ATP binding cassette subfamily D	8577752
HGNC:67	5825	ENSG00000117528	01p21.3	ABCD3	ATP binding cassette subfamily D member 3	ATP binding cassette subfamily D|GOLD domain containing	1301993|8449508
HGNC:68	5826	ENSG00000119688	14q24.3	ABCD4	ATP binding cassette subfamily D member 4	ATP binding cassette subfamily D	9266848|9302272
HGNC:69	6059	ENSG00000164163	04q31.21	ABCE1	ATP binding cassette subfamily E member 1	ATP binding cassette subfamily E	7539425
HGNC:70	23	ENSG00000204574	06p21.33	ABCF1	ATP binding cassette subfamily F member 1	ATP binding cassette subfamily F	9790762
HGNC:71	10061	ENSG00000033050	07q36.1	ABCF2	ATP binding cassette subfamily F member 2	ATP binding cassette subfamily F	8894702
HGNC:72	55324	ENSG00000161204	03q27.1	ABCF3	ATP binding cassette subfamily F member 3	ATP binding cassette subfamily F	8894702
HGNC:73	9619	ENSG00000160179	21q22.3	ABCG1	ATP binding cassette subfamily G member 1	ATP binding cassette subfamily G	8659545|16870176
HGNC:74	9429	ENSG00000118777	04q22.1	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	Blood group antigens|CD molecules|ATP binding cassette subfamily G	8894702|9861027
HGNC:13884	64137	ENSG00000172350	11q23.3	ABCG4	ATP binding cassette subfamily G member 4	ATP binding cassette subfamily G	11435397
HGNC:13886	64240	ENSG00000138075	02p21	ABCG5	ATP binding cassette subfamily G member 5	ATP binding cassette subfamily G	11099417|11452359
HGNC:13887	64241	ENSG00000143921	02p21	ABCG8	ATP binding cassette subfamily G member 8	ATP binding cassette subfamily G	11099417|17626266
HGNC:17553	84696	ENSG00000143994	02p23.3	ABHD1	abhydrolase domain containing 1	Abhydrolase domain containing	11922611
HGNC:18717	11057	ENSG00000140526	15q26.1	ABHD2	abhydrolase domain containing 2	Abhydrolase domain containing	
HGNC:18718	171586	ENSG00000158201	18q11.2	ABHD3	abhydrolase domain containing 3	Abhydrolase domain containing	
HGNC:20154	63874	ENSG00000100439	14q11.2	ABHD4	abhydrolase domain containing 4	Abhydrolase domain containing	
HGNC:21396	51099	ENSG00000011198	03p21.33	ABHD5	abhydrolase domain containing 5	Abhydrolase domain containing	11590543|18606822
HGNC:21398	57406	ENSG00000163686	03p14.3	ABHD6	abhydrolase domain containing 6	Abhydrolase domain containing	22969151
HGNC:23759	79575	ENSG00000127220	19p13.11	ABHD8	abhydrolase domain containing 8	Abhydrolase domain containing	12477932
HGNC:25656	55347	ENSG00000144827	03q13.2	ABHD10	abhydrolase domain containing 10	Abhydrolase domain containing	22294686
HGNC:16407	83451	ENSG00000106077	07q11.23	ABHD11	abhydrolase domain containing 11	Abhydrolase domain containing	12073013
HGNC:15868	26090	ENSG00000100997	20p11.21	ABHD12	abhydrolase domain containing 12	Abhydrolase domain containing	22969151
HGNC:19837	145447	ENSG00000131969	14q22.1	ABHD12B	abhydrolase domain containing 12B	Abhydrolase domain containing	
HGNC:20293	84945	ENSG00000139826	13q33.3	ABHD13	abhydrolase domain containing 13	Abhydrolase domain containing	
HGNC:24538	25864	ENSG00000248487	03p21.2	ABHD14A	abhydrolase domain containing 14A	Abhydrolase domain containing	
HGNC:28235	84836	ENSG00000114779	03p21.2	ABHD14B	abhydrolase domain containing 14B	Abhydrolase domain containing	
HGNC:26971	116236	ENSG00000168792	17q11.2	ABHD15	abhydrolase domain containing 15	Abhydrolase domain containing	12975309
HGNC:13921	7920	ENSG00000204427	06p21.33	ABHD16A	abhydrolase domain containing 16A	Abhydrolase domain containing	2911734|2813433
HGNC:16128	140701	ENSG00000183260	20q13.33	ABHD16B	abhydrolase domain containing 16B	Abhydrolase domain containing	
HGNC:28756	81926	ENSG00000129968	19p13.3	ABHD17A	abhydrolase domain containing 17A	Abhydrolase domain containing	14702039
HGNC:24278	51104	ENSG00000107362	09q21.13	ABHD17B	abhydrolase domain containing 17B	Abhydrolase domain containing	10810093
HGNC:26925	58489	ENSG00000136379	15q25.1	ABHD17C	abhydrolase domain containing 17C	Abhydrolase domain containing	
HGNC:26111	80167	ENSG00000164074	04q28.2	ABHD18	abhydrolase domain containing 18		12477932
HGNC:11320	10006	ENSG00000136754	10p12.1	ABI1	abl interactor 1		9593709|9010225
HGNC:24011	10152	ENSG00000138443	02q33.2	ABI2	abl interactor 2		7590236|10964520
HGNC:29859	51225	ENSG00000108798	17q21.32	ABI3	ABI family member 3		10978530|11956071
HGNC:17265	25890	ENSG00000154175	03q12.2	ABI3BP	ABI family member 3 binding protein	Fibronectin type III domain containing	11501947
HGNC:76	25	ENSG00000097007	09q34.12	ABL1	"ABL proto-oncogene 1, non-receptor tyrosine kinase"	SH2 domain containing	1857987|12626632
HGNC:77	27	ENSG00000143322	01q25.2	ABL2	"ABL proto-oncogene 2, non-receptor tyrosine kinase"	SH2 domain containing	3787260
HGNC:78	3983	ENSG00000099204	10q25.3	ABLIM1	actin binding LIM protein 1	LIM domain containing	9245787
HGNC:19195	84448	ENSG00000163995	04p16.1	ABLIM2	actin binding LIM protein family member 2	LIM domain containing	
HGNC:29132	22885	ENSG00000173210	05q32	ABLIM3	actin binding LIM protein family member 3	LIM domain containing	
HGNC:79	28	ENSG00000175164	09q34.2	ABO	"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)"	Glycosyltransferase family 6|Blood group antigens	184030
HGNC:81	29	ENSG00000159842	17p13.3	ABR	active BCR-related	Pleckstrin homology domain containing|Rho guanine nucleotide exchange factors|C2 domain containing	2587217|7479768
HGNC:30655	137735	ENSG00000174429	08q23.1	ABRA	actin binding Rho activating protein		11983702
HGNC:21230	58527	ENSG00000146386	06q24.1	ABRACL	ABRA C-terminal like		21082705
HGNC:17369	29777	ENSG00000146109	06p22.2	ABT1	activator of basal transcription 1		10648625
HGNC:18275	80325	ENSG00000114626	03q21.3	ABTB1	ankyrin repeat and BTB domain containing 1	Ankyrin repeat domain containing|BTB domain containing	10891360|11494141
HGNC:23842	25841	ENSG00000166016	11p13	ABTB2	ankyrin repeat and BTB domain containing 2	Ankyrin repeat domain containing|BTB domain containing	
HGNC:82	30	ENSG00000060971	03p22.2	ACAA1	acetyl-CoA acyltransferase 1		
HGNC:83	10449	ENSG00000167315	18q21.1	ACAA2	acetyl-CoA acyltransferase 2		8241273
HGNC:84	31	ENSG00000278540	17q12	ACACA	acetyl-CoA carboxylase alpha		
HGNC:85	32	ENSG00000076555	12q24.11	ACACB	acetyl-CoA carboxylase beta		8670171
HGNC:87	27034	ENSG00000151498	11q25	ACAD8	acyl-CoA dehydrogenase family member 8	Acyl-CoA dehydrogenase family	10524212
HGNC:21497	28976	ENSG00000177646	03q21.3	ACAD9	acyl-CoA dehydrogenase family member 9	Mitochondrial respiratory chain complex assembly factors|Acyl-CoA dehydrogenase family	12359260|21057504|20816094
HGNC:21597	80724	ENSG00000111271	12q24.12	ACAD10	acyl-CoA dehydrogenase family member 10	Acyl-CoA dehydrogenase family	15560374
HGNC:30211	84129	ENSG00000240303	03q22.1	ACAD11	acyl-CoA dehydrogenase family member 11	Acyl-CoA dehydrogenase family	
HGNC:88	33	ENSG00000115361	02q34	ACADL	"acyl-CoA dehydrogenase, long chain"	Acyl-CoA dehydrogenase family	1774065
HGNC:89	34	ENSG00000117054	01p31.1	ACADM	"acyl-CoA dehydrogenase, C-4 to C-12 straight chain"	Acyl-CoA dehydrogenase family	3035565
HGNC:90	35	ENSG00000122971	12q24.31	ACADS	"acyl-CoA dehydrogenase, C-2 to C-3 short chain"	Acyl-CoA dehydrogenase family	2565344
HGNC:91	36	ENSG00000196177	10q26.13	ACADSB	"acyl-CoA dehydrogenase, short/branched chain"	Acyl-CoA dehydrogenase family	7698750|7759115
HGNC:92	37	ENSG00000072778	17p13.1	ACADVL	"acyl-CoA dehydrogenase, very long chain"	Acyl-CoA dehydrogenase family	8921384
HGNC:319	176	ENSG00000157766	15q26.1	ACAN	aggrecan	Hyalectan proteoglycans|V-set domain containing|Sushi domain containing|C-type lectin domain containing	1985970
HGNC:16467	9744	ENSG00000072818	17p13.1	ACAP1	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"	ArfGAPs|Ankyrin repeat domain containing|Pleckstrin homology domain containing|BAR-PH domain containing	11050434|11062263
HGNC:16469	23527	ENSG00000114331	03q29	ACAP2	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"	ArfGAPs|Ankyrin repeat domain containing|Pleckstrin homology domain containing|BAR-PH domain containing	11050434|11062263
HGNC:16754	116983	ENSG00000131584	01p36.33	ACAP3	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"	ArfGAPs|Ankyrin repeat domain containing|Pleckstrin homology domain containing|BAR-PH domain containing	
HGNC:93	38	ENSG00000075239	11q22.3	ACAT1	acetyl-CoA acetyltransferase 1		1979337
HGNC:94	39	ENSG00000120437	06q25.3	ACAT2	acetyl-CoA acetyltransferase 2		2475872
HGNC:15453	64746	ENSG00000182827	01q42.12	ACBD3	acyl-CoA binding domain containing 3	A-kinase anchoring proteins	12692076|20150326
HGNC:23337	79777	ENSG00000181513	17q21.31	ACBD4	acyl-CoA binding domain containing 4		
HGNC:23338	91452	ENSG00000107897	10p12.1	ACBD5	acyl-CoA binding domain containing 5		12056414
HGNC:23339	84320	ENSG00000230124	01q25.2-q25.3	ACBD6	acyl-CoA binding domain containing 6	Ankyrin repeat domain containing	18268358
HGNC:17715	414149	ENSG00000176244	10p13	ACBD7	acyl-CoA binding domain containing 7		
HGNC:23989	84680	ENSG00000110455	11p11.2	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)		11470512
HGNC:34391	390110	ENSG00000205126	11p11.2	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like		
HGNC:25070	65057	ENSG00000102977	16q22.1	ACD	adrenocortical dysplasia homolog	Shelterin complex	15231715|15181449
HGNC:2707	1636	ENSG00000159640	17q23.3	ACE	angiotensin I converting enzyme	CD molecules	2554286|10319862
HGNC:13557	59272	ENSG00000130234	Xp22.2	ACE2	angiotensin I converting enzyme 2		10969042
HGNC:18356	125981	ENSG00000167769	19p13.3	ACER1	alkaline ceramidase 1	Alkaline ceramidases	12783875
HGNC:23675	340485	ENSG00000177076	09p22.1	ACER2	alkaline ceramidase 2	Alkaline ceramidases	18945876
HGNC:16066	55331	ENSG00000078124	11q13.5	ACER3	alkaline ceramidase 3	Alkaline ceramidases	11356846|18619555
HGNC:108	43	ENSG00000087085	07q22.1	ACHE	acetylcholinesterase (Cartwright blood group)	Blood group antigens	1380483
HGNC:17066	22985	ENSG00000100813	14q11.2	ACIN1	apoptotic chromatin condensation inducer 1	ASAP complex	9734811|10490026
HGNC:4035	2532	ENSG00000213088	01q23.2	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	Blood group antigens|CD molecules|Atypical chemokine receptors	8248172|7663520|16148
HGNC:1565	1238	ENSG00000144648	03p22.1	ACKR2	atypical chemokine receptor 2	Atypical chemokine receptors	9364936|9405404|16148
HGNC:23692	57007	ENSG00000144476	02q37.3	ACKR3	atypical chemokine receptor 3	Atypical chemokine receptors	16107333|16148
HGNC:1611	51554	ENSG00000129048	03q22.1	ACKR4	atypical chemokine receptor 4	Atypical chemokine receptors	10767544|16148
HGNC:115	47	ENSG00000131473	17q21.2	ACLY	ATP citrate lyase		1371749|8088842
HGNC:19288	130013	ENSG00000153086	02q21.3	ACMSD	aminocarboxymuconate semialdehyde decarboxylase		12140278
HGNC:117	48	ENSG00000122729	09p21.1	ACO1	aconitase 1		2172968|2771641
HGNC:118	50	ENSG00000100412	22q13.2	ACO2	aconitase 2		10591208
HGNC:33904	730249	ENSG00000102794	13q22.3	ACOD1	aconitate decarboxylase 1		12893884|23610393
HGNC:33128	641371	ENSG00000184227	14q24.3	ACOT1	acyl-CoA thioesterase 1	Acyl-CoA thioesterases	16103133|16940157
HGNC:18431	10965	ENSG00000119673	14q24.3	ACOT2	acyl-CoA thioesterase 2	Acyl-CoA thioesterases	16103133|16940157
HGNC:19748	122970	ENSG00000177465	14q24.3	ACOT4	acyl-CoA thioesterase 4	Acyl-CoA thioesterases	16103133|16940157
HGNC:33159	641372	ENSG00000205669	14q24.3	ACOT6	acyl-CoA thioesterase 6	Acyl-CoA thioesterases	16940157
HGNC:24157	11332	ENSG00000097021	01p36.31	ACOT7	acyl-CoA thioesterase 7	Acyl-CoA thioesterases	10578051|16103133|16940157
HGNC:15919	10005	ENSG00000101473	20q13.12	ACOT8	acyl-CoA thioesterase 8	Acyl-CoA thioesterases	10092594|9153233|16103133|16940157
HGNC:17152	23597	ENSG00000123130	Xp22.11	ACOT9	acyl-CoA thioesterase 9	Acyl-CoA thioesterases	10383425|10810093|16103133|16940157
HGNC:18156	26027	ENSG00000162390	01p32.3	ACOT11	acyl-CoA thioesterase 11	Acyl-CoA thioesterases|StAR related lipid transfer domain containing	11696000|16103133|16940157
HGNC:24436	134526	ENSG00000172497	05q14.1	ACOT12	acyl-CoA thioesterase 12	Acyl-CoA thioesterases|StAR related lipid transfer domain containing	16103133|16940157
HGNC:20999	55856	ENSG00000112304	06p22.3	ACOT13	acyl-CoA thioesterase 13	Acyl-CoA thioesterases	16934754|19405909
HGNC:119	51	ENSG00000161533	17q25.1	ACOX1	acyl-CoA oxidase 1		8159712
HGNC:120	8309	ENSG00000168306	03p14.3	ACOX2	acyl-CoA oxidase 2		8943006|9070889
HGNC:121	8310	ENSG00000087008	04p16.1	ACOX3	"acyl-CoA oxidase 3, pristanoyl"		9271077
HGNC:25621	55289	ENSG00000153093	02q13	ACOXL	acyl-CoA oxidase-like		
HGNC:122	52	ENSG00000143727	02p25.3	ACP1	"acid phosphatase 1, soluble"	Class II Cys-based phosphatases|Acid phosphatases	457131|1587862|8586411
HGNC:123	53	ENSG00000134575	11p11.2	ACP2	"acid phosphatase 2, lysosomal"	Acid phosphatases	975882
HGNC:124	54	ENSG00000102575	19p13.2	ACP5	"acid phosphatase 5, tartrate resistant"	Acid phosphatases	8449511|2338077
HGNC:29609	51205	ENSG00000162836	01q21.2	ACP6	"acid phosphatase 6, lysophosphatidic"	Acid phosphatases	12010880|10506173
HGNC:33781	390928	ENSG00000183760	19q13.2	ACP7	"acid phosphatase 7, tartrate resistant (putative)"		16793224
HGNC:125	55	ENSG00000014257	03q22.1	ACPP	"acid phosphatase, prostate"	Acid phosphatases	1375464|2842184
HGNC:14376	93650	ENSG00000142513	19q13.33	ACPT	"acid phosphatase, testicular"	Acid phosphatases	11414767
HGNC:126	49	ENSG00000100312	22q13.33	ACR	acrosin		2298447|12398221
HGNC:17195	84519	ENSG00000111644	12p13.31	ACRBP	acrosin binding protein		11248070
HGNC:15805	93953	ENSG00000147174	Xq13.1	ACRC	acidic repeat containing		
HGNC:127	56	ENSG00000134940	11q24.2	ACRV1	acrosomal vesicle protein 1		1693291|8288254
HGNC:29567	23205	ENSG00000103740	15q25.1	ACSBG1	acyl-CoA synthetase bubblegum family member 1	Acyl-CoA synthetase family	9734811|10954726
HGNC:24174	81616	ENSG00000130377	19p13.3	ACSBG2	acyl-CoA synthetase bubblegum family member 2	Acyl-CoA synthetase family	11230166
HGNC:26101	80221	ENSG00000167107	17q21.33	ACSF2	acyl-CoA synthetase family member 2	Acyl-CoA synthetase family	17762044
HGNC:27288	197322	ENSG00000176715	16q24.3	ACSF3	acyl-CoA synthetase family member 3	Acyl-CoA synthetase family	17762044|21846720
HGNC:3569	2180	ENSG00000151726	04q35.1	ACSL1	acyl-CoA synthetase long-chain family member 1	Acyl-CoA synthetase family	2341402|1531127
HGNC:3570	2181	ENSG00000123983	02q36.1	ACSL3	acyl-CoA synthetase long-chain family member 3	Acyl-CoA synthetase family	
HGNC:3571	2182	ENSG00000068366	Xq23	ACSL4	acyl-CoA synthetase long-chain family member 4	Acyl-CoA synthetase family|X-linked mental retardation	9480748|12949969
HGNC:16526	51703	ENSG00000197142	10q25.2	ACSL5	acyl-CoA synthetase long-chain family member 5	Acyl-CoA synthetase family	11127823
HGNC:16496	23305	ENSG00000164398	05q31.1	ACSL6	acyl-CoA synthetase long-chain family member 6	Acyl-CoA synthetase family	10502316|10548543
HGNC:18049	116285	ENSG00000166743	16p12.3	ACSM1	acyl-CoA synthetase medium-chain family member 1	Acyl-CoA synthetase family	11470804|12654705
HGNC:32017	123876	ENSG00000183747	16p12.3	ACSM2A	acyl-CoA synthetase medium-chain family member 2A	Acyl-CoA synthetase family	
HGNC:30931	348158	ENSG00000066813	16p12.3	ACSM2B	acyl-CoA synthetase medium-chain family member 2B	Acyl-CoA synthetase family	12616642
HGNC:10522	6296	ENSG00000005187	16p12.3	ACSM3	acyl-CoA synthetase medium-chain family member 3	Acyl-CoA synthetase family	7843754|7907320|11470804
HGNC:32016	341392	ENSG00000215009	12p13.31	ACSM4	acyl-CoA synthetase medium-chain family member 4	Acyl-CoA synthetase family	17762044
HGNC:26060	54988	ENSG00000183549	16p12.3	ACSM5	acyl-CoA synthetase medium-chain family member 5	Acyl-CoA synthetase family	17762044
HGNC:31665	142827	ENSG00000173124	10q23.33	ACSM6	acyl-CoA synthetase medium-chain family member 6		23884467
HGNC:16091	84532	ENSG00000154930	20p11.21	ACSS1	acyl-CoA synthetase short-chain family member 1	Acyl-CoA synthetase family	
HGNC:15814	55902	ENSG00000131069	20q11.22	ACSS2	acyl-CoA synthetase short-chain family member 2	Acyl-CoA synthetase family	10843999
HGNC:24723	79611	ENSG00000111058	12q21.31	ACSS3	acyl-CoA synthetase short-chain family member 3	Acyl-CoA synthetase family	17762044
HGNC:129	58	ENSG00000143632	01q42.13	ACTA1	"actin, alpha 1, skeletal muscle"	Actins	10072583|6865942
HGNC:130	59	ENSG00000107796	10q23.31	ACTA2	"actin, alpha 2, smooth muscle, aorta"	Actins	2398629
HGNC:132	60	ENSG00000075624	07p22.1	ACTB	actin beta	Actins	1505215
HGNC:17780	345651	ENSG00000169067	05q11.2	ACTBL2	"actin, beta like 2"		
HGNC:143	70	ENSG00000159251	15q14	ACTC1	"actin, alpha, cardiac muscle 1"	Actins	1639426
HGNC:144	71	ENSG00000184009	17q25.3	ACTG1	actin gamma 1	Actins	14684684
HGNC:145	72	ENSG00000163017	02p13.1	ACTG2	"actin, gamma 2, smooth muscle, enteric"	Actins	1710027|1673027
HGNC:24124	86	ENSG00000136518	03q26.33	ACTL6A	actin like 6A	INO80 complex | SRCAP complex	9845365|10380635
HGNC:160	51412	ENSG00000077080	07q22.1	ACTL6B	actin like 6B		9799793
HGNC:161	10881	ENSG00000187003	09q31.3	ACTL7A	actin like 7A		10373328
HGNC:162	10880	ENSG00000148156	09q31.3	ACTL7B	actin like 7B		10373328|12907721
HGNC:24018	81569	ENSG00000117148	01p36.13	ACTL8	actin like 8		
HGNC:28494	284382	ENSG00000181786	19p13.2	ACTL9	actin like 9		
HGNC:16127	170487	ENSG00000182584	20q11.22	ACTL10	actin like 10		
HGNC:163	87	ENSG00000072110	14q24.1	ACTN1	actinin alpha 1	Actinins	2349951
HGNC:164	88	ENSG00000077522	01q43	ACTN2	actinin alpha 2	Actinins	1339456
